Field_ID,Yield
E9UZCEA,2.7124443
1WGGS1Q,2.2469459
EG2KXE2,2.9957583
HC3GQXF,2.5143561
7AK6GFK,2.4336958
QBM8DGN,4.3169565
1H0WQXK,5.4100413
CWDN5MZ,5.0762963
PTAP92J,3.9959035
NTTFH97,3.6903827
RK81RN2,3.9662762
O3RQ62W,3.8701932
VKW2QWW,4.3158193
3FCYE8T,4.0778475
8RYV3CK,3.247694
3NKC1DP,3.1665933
R8WPNYX,3.8065732
TOZJ2IG,3.6522233
CNLULR7,4.4255686
ELZR4UM,5.312016
VIZYKBL,3.5304096
LZIDLI2,3.2926512
B9L85Z0,3.7930706
O0U8D1M,2.895778
3VBIK52,3.1444628
2JFB39B,3.8121796
JFCSJF4,2.6799662
BO8JXPC,3.2396996
6SDAQZQ,3.2741072
NGD88T2,4.532427
FT8LFH4,5.358412
MZOCECZ,3.9296322
55GG5NQ,4.420413
QKO0BV6,5.7358418
DRQAXC4,5.5002255
M4SFYB7,4.4611197
ENQBR9B,5.5772676
P6ECOKQ,5.466327
JJREPX0,2.7010071
DN2B2XP,2.5379503
DJL98FI,3.0557272
OX0Q82K,2.896929
TFXIDLZ,2.7646415
ZGMQJ7K,2.7730472
E82R8PJ,2.8693316
OYC8M3P,3.5683346
JAH5WXF,3.443409
DL6AML6,3.4192517
GYZLLDT,2.8783684
TVFO9CM,2.4932218
7E6RO6I,2.8413718
0P7W1P8,2.2832675
D52SYLW,3.2155075
QWRRKBR,2.3587887
OH4ESIV,2.9973867
1K2VIHV,3.7497156
JXAD8LJ,2.747877
XAJ1NTU,5.3843627
77GE28L,4.020851
EYDZYMV,4.775645
5SRUT7Y,3.889671
CCMTCVJ,3.6401167
45HDPQG,5.8180537
HWOVS2Y,3.6793468
LG9FBFW,3.6057124
8NAOQY3,4.023423
6QBUG02,4.2322598
TM7L926,3.617893
HIE84ES,4.3581886
4E31KLF,4.3831
69DLWQ1,3.716529
O1ZGG6P,3.1350543
G8XP7YG,3.1052616
EP9TUM4,3.3890376
5KQU3IV,4.244052
YBA2QFE,4.1320915
GZ8RW7R,2.225628
ZV8ZA85,4.6045938
VJ5AX0K,4.252344
F4CTCKU,2.834063
9L7J242,2.8995256
MF8FTFG,3.1279151
1K2KCW1,3.4606326
12OWBF9,2.6863003
4RVRAVC,3.4168205
DTWG1BJ,2.5214033
PHX49B7,3.298265
VN1CL1J,2.4290562
VJ3JHOH,3.0468297
7VGPPSK,2.7505918
DYMTI10,2.8620028
WZDG14H,3.1727936
LYR3N87,3.2980225
VPDCHQD,3.1786335
7SW7738,2.108837
6C5RZ3R,2.3306835
7PXDVI7,2.656831
P30Q0U3,3.4553924
6U7AFUR,3.7442045
D65B66Q,3.920489
944SKD5,4.2485266
UIBV8NA,3.8521147
EID9JOD,2.7388315
JDB3E5V,2.9450588
VK9B5JY,2.7308347
4I73A4Q,3.4083934
5KBNV28,3.490257
ETOBRKO,5.2573423
4DELPT6,4.946649
CBY8XQ6,5.491057
A8HRGF6,3.1985078
ZBTG13Z,3.1500432
RHIFOHE,3.1170912
CEYJV9U,3.5693614
FBK12Y9,5.757615
GYW0UZE,3.239046
QXVCWIE,3.2619321
MURYWA1,3.0924103
L0X2M1G,3.0874085
3RB3V6Y,5.302616
GMTT81P,5.1977677
3BNVELA,5.82357
0X73OGT,5.689481
0V4C2W9,4.745572
FJ9HZIR,4.3762727
7KYVZ3F,5.3132014
99ARRM2,4.880874
O9EIUEW,4.1924324
IK83HLI,4.448119
1AH9KQT,6.60765
BH4M6ZN,5.028114
MKA6B60,4.74277
0TP6ZNZ,5.1811075
59FM5IS,6.463269
CK6J25H,5.3676796
V7EFD8Z,5.4933486
G0H8H57,5.614862
L4BZKU0,4.878061
3P8YVLM,3.0706086
VPDZI7Y,4.0364733
0BEDPGN,3.6128888
O780K9Y,4.909725
UUVI4N1,5.10114
XJTCT78,4.5950465
Q30M7HS,5.458427
Z0UKCU0,4.820104
RTVCND5,4.2310596
A06JK7H,4.733959
F0XSDYO,4.7116294
P2VP8TL,3.5410237
L3JFEG6,4.8292003
66PKAQX,4.117581
JWN1Q0E,4.227441
UKEXN7Y,4.029401
61RNVM6,5.2760134
XWJVZLL,3.9657824
Q9BK9V3,3.8441978
15N57Y3,4.002523
WSH7TWL,4.2105713
93XQZPL,4.2105713
E2J5SNZ,4.2844915
0VQH8RV,4.782486
VWE8X7D,4.1724367
9AP7PPM,3.826437
Q4OSIHB,4.2105713
01CNJBI,4.0248203
X6G8EYL,4.0258636
AQSZDWA,4.2093735
9WMQEXG,4.1897025
G00R3DI,4.4421606
W25FF0D,4.987055
G70A7JG,4.4745607
2O1FDGL,4.2385445
0XGKRWL,3.700959
PCX2WO1,4.6899705
6WIDHKU,4.3793035
ZQ6PI9K,4.0823803
DFQG8RU,4.259514
OB4D4A3,4.639985
KK2VK7Z,4.42907
6TH3FQZ,4.410969
8K0O0PD,4.333523
DDMOWY3,4.285019
HH7Z5Z5,5.5048113
IY0DW40,4.3333507
OSHARAV,4.0877924
SZCWVBD,4.5282373
X7SBATO,4.611512
89V3EBE,4.986879
IBJCQU2,3.8751888
IA77FT0,4.214285
552VS1V,3.8004992
1BZ2WMK,4.4820943
CZFCMBJ,4.5756726
MAICAFG,3.8207667
AVIIWAQ,3.700864
R20MQ4T,3.759993
WJGPWN7,4.489249
OBCZ8UN,3.9318535
S4DAJNI,3.8472736
NPLF94D,4.3626585
1NRMK7Z,4.325284
ITNCN60,4.3788276
6SHN9H9,4.8790646
5O53JVV,2.620255
SC3I5QS,2.4393446
ULZOU94,2.3182602
9KMOAPZ,2.2187796
K29MYB1,2.4257803
PY1BOJ3,2.0344944
VW9NF4Q,3.6207457
XD103QP,2.393859
6AVVM6M,2.6514869
QRCOD7B,3.1089184
L2OB6S8,3.3539746
IZA34EE,3.0657694
ZIIUZCF,3.2794633
TEZ5L7O,2.3856463
CIN5QMN,3.062049
S0S6VJG,3.0010448
CKTJBEQ,3.0950713
H40IQ30,3.015919
4PWB5EG,3.2484944
1WTRZHH,4.3338695
KQJEE83,4.258996
31HAE1D,3.6651428
WBNJ3W8,2.8795478
TDLCAHC,4.894263
00PLSKP,4.610247
WAHI43J,2.9852655
PL53LBS,5.3369536
VGFYH5E,5.1512527
I4JE5P1,3.9861352
PO5T84R,3.9005888
37YGZ93,5.148629
EXIE2HK,3.186302
4KW9P3T,3.634759
WFWWU9Z,2.9766846
7I41J4H,3.3301759
514B8DY,3.3157573
POPYFHQ,4.6428175
3ZTRVIZ,4.758335
TZONIB0,3.0933096
3XF69CZ,5.576864
ECE8F6Q,3.7508817
NRT2N45,4.721891
T120GUW,4.3999
KTPFLMO,4.394365
U5I1GNT,3.3605354
6R66UVC,2.9168065
GTL5GQ8,4.0869813
L685WGL,3.4385622
PMC7TX4,5.607663
1OVAAPH,3.7898898
15S06J4,3.4204168
G7CHWNI,3.5363073
ZA5ZVGU,3.196683
6IWI3T5,4.3405066
X3KD67T,6.214589
Q7DD9SH,3.0788207
4KP6WAV,3.9049816
UVNQ9WJ,3.3075423
4KSOGXH,3.6909034
QBKGPRU,5.036418
8QKI0EQ,3.6262965
